TIME;ID;MAP NUMBER;ITERATION;DESCRIPTION;TIME ARRAY;SEQUENCE ARRAY;COST;VALID;COMPLETE
2017-09-30T14:24:24.271249;;;;Behavior table clicked! Item is Flocking;;;;;;
2017-09-30T14:24:24.854712;;;;Behavior table clicked! Item is Flock East;;;;;;
2017-09-30T14:24:25.456171;;;;Add button clicked! Item is Flock East;;;;;;
2017-09-30T14:24:26.070663;;;;Behavior table clicked! Item is Flock North;;;;;;
2017-09-30T14:24:26.943433;;;;Add button clicked! Item is Flock North;;;;;;
2017-09-30T14:24:28.246721;;;;Sequence table clicked! Item is Duration for (row,col) (0,1);;;;;;
2017-09-30T14:24:30.118733;;;;Sequence table clicked! Item is Duration for (row,col) (1,1);;;;;;
2017-09-30T14:24:31.430520;;;;Sequence table clicked! Item is Duration for (row,col) (2,1);;;;;;
2017-09-30T14:25:07.278710;;;;Behavior table clicked! Item is Flock East;;;;;;
2017-09-30T14:25:18.510939;;;;Behavior table clicked! Item is Flock South;;;;;;
2017-09-30T14:25:19.286604;;;;Behavior table clicked! Item is Flock North;;;;;;
2017-09-30T14:25:19.710552;;;;Behavior table clicked! Item is Flock South;;;;;;
2017-09-30T14:25:20.198776;;;;Behavior table clicked! Item is Flock West;;;;;;
2017-09-30T14:25:20.566475;;;;Behavior table clicked! Item is Flock North;;;;;;
2017-09-30T14:25:21.158764;;;;Behavior table clicked! Item is Flock East;;;;;;
2017-09-30T14:25:21.982556;;;;Behavior table clicked! Item is Antirendezvous;;;;;;
2017-09-30T14:25:30.542806;;;;Behavior table clicked! Item is Flocking;;;;;;
2017-09-30T14:25:59.375485;;;;Behavior table clicked! Item is Flock North;;;;;;
2017-09-30T14:25:59.734728;;;;Behavior table clicked! Item is Flock West;;;;;;
2017-09-30T14:26:00.679566;;;;Add button clicked! Item is Flock West;;;;;;
2017-09-30T14:26:01.654712;;;;Sequence table clicked! Item is Duration for (row,col) (2,1);;;;;;
2017-09-30T14:26:06.007706;17;;0;Submit Clicked;5,10,17;e,n,w;;;;
2017-09-30T14:26:13.096673;17;;0;Submit Clicked;5,10,17;e,n,w;;;;
2017-09-30T14:26:23.505299;17;;0;Submit Clicked;5,10,17;e,n,w;;;;
2017-09-30T14:26:24.575182;17;;0;Submit Clicked;5,10,17;e,n,w;;;;
2017-09-30T14:26:24.575333;17;;0;Run Clicked;5,10,17;e,n,w;;;;
2017-09-30T14:26:30.064841;17;0;1;Sequence Generated;5,10,17;Flock East->Flock North->Flock West;100000.000000;INVALID;INCOMPLETE;
2017-09-30T14:27:09.638808;;;;Behavior table clicked! Item is Rendezvous;;;;;;
2017-09-30T14:27:10.576339;;;;Add button clicked! Item is Rendezvous;;;;;;
2017-09-30T14:27:11.174814;;;;Sequence table clicked! Item is Duration for (row,col) (3,1);;;;;;
2017-09-30T14:27:12.979105;17;;1;Submit Clicked;5,10,17,22;e,n,w,r;;;;
2017-09-30T14:27:13.801183;17;;1;Submit Clicked;5,10,17,22;e,n,w,r;;;;
2017-09-30T14:27:13.801543;17;;1;Run Clicked;5,10,17,22;e,n,w,r;;;;
2017-09-30T14:27:18.864839;17;0;2;Sequence Generated;5,10,17,22;Flock East->Flock North->Flock West->Rendezvous;100000.000000;INVALID;INCOMPLETE;
2017-09-30T14:27:25.694845;;;;Behavior table clicked! Item is Flock North;;;;;;
2017-09-30T14:27:33.918599;;;;Sequence table clicked! Item is Flock West;;;;;;
2017-09-30T14:27:35.039844;;;;Delete button clicked! Item is Flock West;;;;;;
2017-09-30T14:27:35.766723;;;;Sequence table clicked! Item is Flock North;;;;;;
2017-09-30T14:27:36.503467;;;;Delete button clicked! Item is Flock North;;;;;;
2017-09-30T14:27:36.975974;;;;Sequence table clicked! Item is Flock East;;;;;;
2017-09-30T14:27:37.751810;;;;Delete button clicked! Item is Flock East;;;;;;
2017-09-30T14:27:38.814855;;;;Behavior table clicked! Item is Flock East;;;;;;
2017-09-30T14:27:39.623866;;;;Add button clicked! Item is Flock East;;;;;;
2017-09-30T14:27:40.534565;;;;Sequence table clicked! Item is Duration for (row,col) (2,1);;;;;;
2017-09-30T14:27:41.918784;;;;Sequence table clicked! Item is Duration for (row,col) (3,1);;;;;;
2017-09-30T14:27:42.287805;;;;Sequence table clicked! Item is Duration for (row,col) (3,1);;;;;;
2017-09-30T14:27:42.479833;;;;Sequence table clicked! Item is Duration for (row,col) (3,1);;;;;;
2017-09-30T14:27:43.650091;17;;2;Submit Clicked;5,10;r,e;;;;
2017-09-30T14:27:44.672302;17;;2;Submit Clicked;5,10;r,e;;;;
2017-09-30T14:27:44.672593;17;;2;Run Clicked;5,10;r,e;;;;
2017-09-30T14:27:47.695680;17;0;3;Sequence Generated;5,10;Rendezvous->Flock East;100000.000000;INVALID;INCOMPLETE;
2017-09-30T14:27:50.686829;;;;Sequence table clicked! Item is Flock East;;;;;;
2017-09-30T14:27:50.846647;;;;Sequence table clicked! Item is Flock East;;;;;;
2017-09-30T14:27:51.783489;;;;Delete button clicked! Item is Flock East;;;;;;
2017-09-30T14:27:52.454640;;;;Sequence table clicked! Item is Rendezvous;;;;;;
2017-09-30T14:27:53.168704;;;;Delete button clicked! Item is Rendezvous;;;;;;
2017-09-30T14:28:28.598568;;;;Sequence table clicked! Item is Duration for (row,col) (2,1);;;;;;
2017-09-30T14:28:32.566473;;;;Sequence table clicked! Item is Duration for (row,col) (1,1);;;;;;
2017-09-30T14:28:33.007412;;;;Sequence table clicked! Item is Duration for (row,col) (0,1);;;;;;
2017-09-30T14:28:33.871570;;;;Sequence table clicked! Item is Duration for (row,col) (3,1);;;;;;
2017-09-30T14:28:37.839476;;;;Sequence table clicked! Item is Duration for (row,col) (0,1);;;;;;
2017-09-30T14:28:39.238489;;;;Sequence table clicked! Item is Duration for (row,col) (1,1);;;;;;
2017-09-30T14:28:39.791520;;;;Sequence table clicked! Item is Duration for (row,col) (2,1);;;;;;
2017-09-30T14:28:40.534537;;;;Sequence table clicked! Item is Duration for (row,col) (3,1);;;;;;
2017-09-30T14:28:46.137535;17;;3;Submit Clicked;5,10,15;;;;;
2017-09-30T14:28:50.280815;17;;3;Submit Clicked;5,10,15;;;;;
2017-09-30T14:28:50.281129;17;;3;Run Clicked;5,10,15;;;;;
2017-09-30T14:28:54.384407;17;0;4;Sequence Generated;5,10,15;Flock East->Flocking->Flock North;390.507843;VALID;INCOMPLETE;
2017-09-30T14:29:04.262569;;;;Sequence table clicked! Item is Duration for (row,col) (3,1);;;;;;
2017-09-30T14:29:06.390811;;;;Sequence table clicked! Item is ;;;;;;
2017-09-30T14:29:06.590771;;;;Sequence table clicked! Item is ;;;;;;
2017-09-30T14:29:07.798541;;;;Sequence table clicked! Item is Flocking;;;;;;
2017-09-30T14:30:01.662743;;;;Sequence table clicked! Item is Flock East;;;;;;
2017-09-30T14:30:24.278602;;;;Sequence table clicked! Item is Flocking;;;;;;
2017-09-30T14:30:30.406679;;;;Sequence table clicked! Item is Duration for (row,col) (1,1);;;;;;
2017-09-30T14:30:34.878573;;;;Sequence table clicked! Item is Flocking;;;;;;
2017-09-30T14:30:35.022707;;;;Sequence table clicked! Item is Flocking;;;;;;
2017-09-30T14:30:42.974829;;;;Sequence table clicked! Item is Flock East;;;;;;
2017-09-30T14:30:44.567802;;;;Delete button clicked! Item is Flock East;;;;;;
2017-09-30T14:30:44.767811;;;;Delete button clicked! Item is Flocking;;;;;;
2017-09-30T14:30:44.927536;;;;Delete button clicked! Item is Flock North;;;;;;
2017-09-30T14:30:45.470908;;;;Sequence table clicked! Item is Duration for (row,col) (3,1);;;;;;
2017-09-30T14:30:48.367835;;;;Sequence table clicked! Item is ;;;;;;
2017-09-30T14:30:54.734892;;;;Behavior table clicked! Item is Flock North;;;;;;
2017-09-30T14:30:55.582709;;;;Behavior table clicked! Item is Flock North;;;;;;
2017-09-30T14:30:55.750821;;;;Behavior table clicked! Item is Flock North;;;;;;
2017-09-30T14:30:57.734882;;;;Behavior table clicked! Item is Flock North;;;;;;
2017-09-30T14:30:58.598856;;;;Behavior table clicked! Item is Flock North;;;;;;
2017-09-30T14:30:59.279169;;;;Sequence table clicked! Item is Duration for (row,col) (0,1);;;;;;
2017-09-30T14:30:59.742909;;;;Sequence table clicked! Item is ;;;;;;
2017-09-30T14:31:01.254897;;;;Behavior table clicked! Item is Flock North;;;;;;
