TIME;ID;MAP NUMBER;ITERATION;DESCRIPTION;TIME ARRAY;SEQUENCE ARRAY;COST;VALID;COMPLETE
2017-10-04T02:11:41.135576;asdf;;;Next Clicked;;;;;;
2017-10-04T02:11:44.484194;asdf;;;Next Clicked;;;;;;
2017-10-04T02:11:47.521507;asdf;;;Next Clicked;;;;;;
2017-10-04T02:11:50.185281;asdf;;;Next Clicked;;;;;;
2017-10-04T02:11:52.812254;asdf;;;Next Clicked;;;;;;
2017-10-04T02:12:05.966192;;;;Sequence table clicked! Item is Duration for (row,col) (0,1);;;;;;
2017-10-04T02:12:07.947696;;;;Sequence table clicked! Item is Duration for (row,col) (1,1);;;;;;
2017-10-04T02:12:08.939947;;;;Sequence table clicked! Item is Duration for (row,col) (0,1);;;;;;
2017-10-04T02:12:10.314089;;;;Sequence table clicked! Item is Duration for (row,col) (1,1);;;;;;
2017-10-04T02:12:12.901128;;;;Sequence table clicked! Item is Duration for (row,col) (2,1);;;;;;
2017-10-04T02:12:15.082228;;;;Sequence table clicked! Item is Duration for (row,col) (2,1);;;;;;
2017-10-04T02:12:18.230897;;;;Behavior table clicked! Item is Rendezvous;;;;;;
2017-10-04T02:12:19.560000;;;;Add button clicked! Item is Rendezvous;;;;;;
2017-10-04T02:12:20.530193;;;;Behavior table clicked! Item is Flocking;;;;;;
2017-10-04T02:12:21.341581;;;;Add button clicked! Item is Flocking;;;;;;
2017-10-04T02:12:22.289829;;;;Sequence table clicked! Item is Duration for (row,col) (0,1);;;;;;
2017-10-04T02:12:23.162861;;;;Sequence table clicked! Item is Duration for (row,col) (0,1);;;;;;
2017-10-04T02:12:23.298722;;;;Sequence table clicked! Item is Duration for (row,col) (0,1);;;;;;
2017-10-04T02:12:24.044432;;;;Sequence table clicked! Item is Duration for (row,col) (0,1);;;;;;
2017-10-04T02:12:24.852405;;;;Sequence table clicked! Item is Duration for (row,col) (0,1);;;;;;
2017-10-04T02:12:26.289434;;;;Sequence table clicked! Item is Duration for (row,col) (0,1);;;;;;
2017-10-04T02:12:31.915857;;;;Sequence table clicked! Item is Duration for (row,col) (0,1);;;;;;
2017-10-04T02:12:33.429929;;;;Sequence table clicked! Item is Duration for (row,col) (1,1);;;;;;
2017-10-04T02:12:34.520383;;;;Sequence table clicked! Item is Duration for (row,col) (2,1);;;;;;
2017-10-04T02:12:36.113597;;;;Sequence table clicked! Item is Duration for (row,col) (3,1);;;;;;
2017-10-04T02:13:06.179847;;;;Sequence table clicked! Item is Duration for (row,col) (0,1);;;;;;
2017-10-04T02:13:07.346158;;;;Sequence table clicked! Item is Duration for (row,col) (1,1);;;;;;
2017-10-04T02:13:08.215170;;;;Sequence table clicked! Item is Duration for (row,col) (2,1);;;;;;
2017-10-04T02:13:09.100044;;;;Sequence table clicked! Item is Duration for (row,col) (3,1);;;;;;
2017-10-04T02:13:10.052314;;;;Sequence table clicked! Item is Duration for (row,col) (4,1);;;;;;
2017-10-04T02:13:13.143575;;;;Sequence table clicked! Item is Rendezvous;;;;;;
2017-10-04T02:13:14.312089;;;;Delete button clicked! Item is Rendezvous;;;;;;
2017-10-04T02:13:14.838538;;;;Delete button clicked! Item is Flocking;;;;;;
2017-10-04T02:13:18.054453;asdf;;0;Submit Clicked;5,10,15,20,25;;;;;
2017-10-04T02:13:23.911068;;;;Behavior table clicked! Item is Flock East;;;;;;
2017-10-04T02:13:24.902436;;;;Add button clicked! Item is Flock East;;;;;;
