TIME;ID;MAP NUMBER;ITERATION;DESCRIPTION;TIME ARRAY;SEQUENCE ARRAY;COST;VALID;COMPLETE
2017-09-26T19:15:56.315197;;;;Behavior table clicked! Item is Rendezvous;;;;;
2017-09-26T19:16:06.666868;;;;Behavior table clicked! Item is Flocking;;;;;
2017-09-26T19:16:15.714896;;;;Behavior table clicked! Item is Flock East;;;;;
2017-09-26T19:16:26.290817;;;;Behavior table clicked! Item is Antirendezvous;;;;;
2017-09-26T19:16:33.371196;;;;Behavior table clicked! Item is Flock South;;;;;
2017-09-26T19:16:33.874853;;;;Behavior table clicked! Item is Flocking;;;;;
2017-09-26T19:16:34.354882;;;;Behavior table clicked! Item is Flock East;;;;;
2017-09-26T19:16:34.755040;;;;Behavior table clicked! Item is Flock North;;;;;
2017-09-26T19:16:35.186860;;;;Behavior table clicked! Item is Flock West;;;;;
2017-09-26T19:16:35.666836;;;;Behavior table clicked! Item is Flock South;;;;;
2017-09-26T19:16:36.139439;;;;Behavior table clicked! Item is Antirendezvous;;;;;
2017-09-26T19:16:36.938828;;;;Behavior table clicked! Item is Rendezvous;;;;;
2017-09-26T19:16:41.138897;;;;Behavior table clicked! Item is Flocking;;;;;
2017-09-26T19:16:42.266974;;;;Behavior table clicked! Item is Flock North;;;;;
2017-09-26T19:16:43.938825;;;;Behavior table clicked! Item is Flock East;;;;;
2017-09-26T19:16:47.811876;;;;Add button clicked! Item is Flock East;;;;;
2017-09-26T19:16:50.226911;;;;Behavior table clicked! Item is Flock West;;;;;
2017-09-26T19:16:51.307192;;;;Behavior table clicked! Item is Flock North;;;;;
2017-09-26T19:16:52.188116;;;;Add button clicked! Item is Flock North;;;;;
2017-09-26T19:16:53.098976;;;;Sequence table clicked! Item is Duration for (row,col) (0,1);;;;;
2017-09-26T19:16:56.899078;;;;Sequence table clicked! Item is Duration for (row,col) (1,1);;;;;
2017-09-26T19:16:57.714441;;;;Sequence table clicked! Item is Duration for (row,col) (2,1);;;;;
2017-09-26T19:16:58.314520;;;;Sequence table clicked! Item is ;;;;;
2017-09-26T19:17:02.037185;3;;0;Submit Clicked;5,10;e,n;;;
2017-09-26T19:17:09.621226;3;;0;Submit Clicked;5,10;e,n;;;
2017-09-26T19:17:09.621534;3;;0;Run Clicked;5,10;e,n;;;
2017-09-26T19:17:11.215599;3;0;1;Sequence Generated;5,10;Flock East->Flock North;100000;INVALID;INCOMPLETE
2017-09-26T19:17:38.098781;;;;Sequence table clicked! Item is Duration for (row,col) (2,1);;;;;
2017-09-26T19:17:38.611176;;;;Sequence table clicked! Item is Flock North;;;;;
2017-09-26T19:17:39.003059;;;;Sequence table clicked! Item is ;;;;;
2017-09-26T19:17:52.018915;;;;Sequence table clicked! Item is Flock North;;;;;
2017-09-26T19:17:56.747705;;;;Delete button clicked! Item is Flock North;;;;;
2017-09-26T19:17:57.795096;;;;Sequence table clicked! Item is Flock East;;;;;
2017-09-26T19:17:58.972099;;;;Delete button clicked! Item is Flock East;;;;;
2017-09-26T19:18:01.275275;;;;Sequence table clicked! Item is Duration for (row,col) (2,1);;;;;
2017-09-26T19:18:05.994878;;;;Sequence table clicked! Item is Duration for (row,col) (0,1);;;;;
2017-09-26T19:18:06.523190;;;;Sequence table clicked! Item is Duration for (row,col) (1,1);;;;;
2017-09-26T19:18:07.178914;;;;Sequence table clicked! Item is Duration for (row,col) (2,1);;;;;
2017-09-26T19:18:09.533636;3;;1;Submit Clicked;5,10,15;;;;
2017-09-26T19:18:13.972871;3;;1;Submit Clicked;5,10,15;;;;
2017-09-26T19:18:13.973110;3;;1;Run Clicked;5,10,15;;;;
2017-09-26T19:18:14.064332;3;0;2;Sequence Generated;5,10,15;Flock East->Flocking->Flock North;390.507843;VALID;INCOMPLETE
2017-09-26T19:18:25.291041;;;;Sequence table clicked! Item is Flock North;;;;;
2017-09-26T19:18:26.140147;;;;Delete button clicked! Item is Flock North;;;;;
2017-09-26T19:18:26.874985;;;;Sequence table clicked! Item is Duration for (row,col) (3,1);;;;;
2017-09-26T19:18:30.533719;3;;2;Submit Clicked;5,10,15,20;e,i;;;
2017-09-26T19:18:32.109290;3;;2;Submit Clicked;5,10,15,20;e,i;;;
2017-09-26T19:18:32.109672;3;;2;Run Clicked;5,10,15,20;e,i;;;
2017-09-26T19:18:32.174872;3;0;3;Sequence Generated;5,10,15,20;Flock East->Flocking->Flock North->Rendezvous;498.456757;VALID;COMPLETE
2017-09-26T19:19:26.843791;;;;Delete button clicked! Item is Rendezvous;;;;;
2017-09-26T19:19:27.787236;;;;Sequence table clicked! Item is Flock North;;;;;
2017-09-26T19:19:28.699883;;;;Delete button clicked! Item is Flock North;;;;;
2017-09-26T19:19:29.355009;;;;Sequence table clicked! Item is Duration for (row,col) (3,1);;;;;
2017-09-26T19:19:34.067027;;;;Sequence table clicked! Item is Duration for (row,col) (3,1);;;;;
2017-09-26T19:19:35.730976;;;;Sequence table clicked! Item is Duration for (row,col) (2,1);;;;;
2017-09-26T19:19:36.786968;;;;Sequence table clicked! Item is Flocking;;;;;
2017-09-26T19:19:37.684075;;;;Delete button clicked! Item is Flocking;;;;;
2017-09-26T19:19:38.331299;;;;Sequence table clicked! Item is ;;;;;
2017-09-26T19:19:38.650985;;;;Sequence table clicked! Item is Flock East;;;;;
2017-09-26T19:19:40.876185;;;;Delete button clicked! Item is Flock East;;;;;
2017-09-26T19:19:42.515197;;;;Sequence table clicked! Item is Duration for (row,col) (1,1);;;;;
2017-09-26T19:19:44.043054;;;;Sequence table clicked! Item is Duration for (row,col) (0,1);;;;;
2017-09-26T19:19:55.058884;;;;Behavior table clicked! Item is Flock North;;;;;
2017-09-26T19:19:56.444159;;;;Add button clicked! Item is Flock North;;;;;
2017-09-26T19:19:57.219091;;;;Sequence table clicked! Item is Duration for (row,col) (0,1);;;;;
2017-09-26T19:20:04.579307;;;;Behavior table clicked! Item is Flock East;;;;;
2017-09-26T19:20:06.051295;;;;Behavior table clicked! Item is Flock East;;;;;
2017-09-26T19:20:06.652239;;;;Add button clicked! Item is Flock East;;;;;
2017-09-26T19:20:07.483285;;;;Sequence table clicked! Item is Duration for (row,col) (1,1);;;;;
2017-09-26T19:20:11.307405;;;;Behavior table clicked! Item is Rendezvous;;;;;
2017-09-26T19:20:13.076133;;;;Add button clicked! Item is Rendezvous;;;;;
2017-09-26T19:20:13.762947;;;;Sequence table clicked! Item is Duration for (row,col) (2,1);;;;;
2017-09-26T19:20:18.111964;3;;3;Submit Clicked;5,12,17;n,e,r;;;
2017-09-26T19:20:20.461202;3;;3;Submit Clicked;5,12,17;n,e,r;;;
