TIME;ID;MAP NUMBER;ITERATION;DESCRIPTION;TIME ARRAY;SEQUENCE ARRAY;COST;VALID;COMPLETE
2017-09-26T14:13:31.634591;;;;Behavior table clicked! Item is Rendezvous;;;;;;
2017-09-26T14:13:32.378500;;;;Behavior table clicked! Item is Flocking;;;;;;
2017-09-26T14:13:32.842519;;;;Behavior table clicked! Item is Flock East;;;;;;
2017-09-26T14:13:33.210472;;;;Behavior table clicked! Item is Flock North;;;;;;
2017-09-26T14:13:33.546573;;;;Behavior table clicked! Item is Flock West;;;;;;
2017-09-26T14:13:33.994465;;;;Behavior table clicked! Item is Flock South;;;;;;
2017-09-26T14:13:34.314755;;;;Behavior table clicked! Item is Antirendezvous;;;;;;
2017-09-26T14:13:34.922794;;;;Behavior table clicked! Item is Flock East;;;;;;
2017-09-26T14:13:35.266763;;;;Behavior table clicked! Item is Flocking;;;;;;
2017-09-26T14:13:35.906683;;;;Behavior table clicked! Item is Rendezvous;;;;;;
2017-09-26T14:13:40.922769;;;;Behavior table clicked! Item is Flocking;;;;;;
2017-09-26T14:13:46.259101;;;;Behavior table clicked! Item is Flock East;;;;;;
2017-09-26T14:13:49.674771;;;;Behavior table clicked! Item is Flock North;;;;;;
2017-09-26T14:13:52.466617;;;;Behavior table clicked! Item is Flocking;;;;;;
2017-09-26T14:14:02.906738;;;;Behavior table clicked! Item is Flock North;;;;;;
2017-09-26T14:14:07.522747;;;;Behavior table clicked! Item is Antirendezvous;;;;;;
2017-09-26T14:14:13.298767;;;;Behavior table clicked! Item is Flocking;;;;;;
2017-09-26T14:14:13.842440;;;;Behavior table clicked! Item is Rendezvous;;;;;;
2017-09-26T14:14:14.338708;;;;Behavior table clicked! Item is Flocking;;;;;;
2017-09-26T14:14:14.698559;;;;Behavior table clicked! Item is Flock East;;;;;;
2017-09-26T14:14:16.562538;;;;Behavior table clicked! Item is Rendezvous;;;;;;
2017-09-26T14:14:17.722580;;;;Behavior table clicked! Item is Flock East;;;;;;
2017-09-26T14:14:19.211781;;;;Add button clicked! Item is Flock East;;;;;;
2017-09-26T14:14:21.818658;;;;Sequence table clicked! Item is Duration for (row,col) (0,1);;;;;;
2017-09-26T14:14:22.690507;;;;Behavior table clicked! Item is Flock North;;;;;;
2017-09-26T14:14:23.675523;;;;Add button clicked! Item is Flock North;;;;;;
2017-09-26T14:14:25.826682;;;;Sequence table clicked! Item is Duration for (row,col) (0,1);;;;;;
2017-09-26T14:14:26.258467;;;;Sequence table clicked! Item is Duration for (row,col) (1,1);;;;;;
2017-09-26T14:14:26.674506;;;;Sequence table clicked! Item is Duration for (row,col) (0,1);;;;;;
2017-09-26T14:14:33.746375;;;;Sequence table clicked! Item is Duration for (row,col) (0,1);;;;;;
2017-09-26T14:14:34.482346;;;;Sequence table clicked! Item is Duration for (row,col) (1,1);;;;;;
2017-09-26T14:14:46.938590;;;;Sequence table clicked! Item is Flock North;;;;;;
2017-09-26T14:14:48.203672;;;;Delete button clicked! Item is Flock North;;;;;;
2017-09-26T14:14:49.506579;;;;Sequence table clicked! Item is Flock East;;;;;;
